Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2006-01-02,EQ,292.0,293.5,286.5,286.95,288.0,288.3,290.1,310.9,170.0,143118,41519034.0,-
2006-01-03,EQ,290.2,293.8,288.5,288.3,290.85,289.6,290.2,310.9,170.0,83993,24374801.5,-
2006-01-04,EQ,293.0,298.75,291.0,289.6,296.5,296.5,295.53,310.9,170.0,289617,85589386.05,-
2006-01-05,EQ,296.5,305.5,294.05,296.5,304.25,303.7,303.06,310.9,170.0,602651,182641159.4,-
2006-01-06,EQ,309.0,315.5,304.1,303.7,313.9,313.85,309.72,315.5,170.0,407031,126065444.05,-
2006-01-09,EQ,315.0,325.75,310.1,313.85,318.1,319.6,320.42,325.75,170.0,407012,130414600.5,-
2006-01-10,EQ,321.0,322.0,306.0,319.6,312.0,312.75,311.91,325.75,170.0,399660,124656497.05,-
2006-01-12,EQ,314.0,318.0,292.65,312.75,313.1,313.3,313.48,325.75,170.0,187485,58772635.6,-
2006-01-13,EQ,316.0,322.9,314.5,313.3,318.0,318.2,319.29,325.75,170.0,461824,147455241.55,-
2006-01-16,EQ,319.95,325.0,315.05,318.2,324.7,323.2,320.73,325.75,186.15,362589,116294200.8,-
2006-01-17,EQ,344.4,355.0,323.0,323.2,324.6,324.1,330.0,355.0,186.15,313271,103378893.75,-
2006-01-18,EQ,323.1,325.0,311.0,324.1,319.0,320.7,320.44,355.0,186.15,263959,84582477.05,-
2006-01-19,EQ,325.0,330.0,322.6,320.7,328.0,327.75,327.03,355.0,186.15,138045,45145269.65,-
2006-01-20,EQ,329.0,349.8,326.1,327.75,345.0,338.75,332.89,355.0,186.15,240300,79994546.1,-
2006-01-23,EQ,339.5,374.9,330.1,338.75,370.0,367.25,359.81,374.9,189.0,641465,230802880.4,-
2006-01-24,EQ,345.0,369.4,334.05,367.25,338.5,336.55,348.27,374.9,189.0,489406,170447703.35,-
2006-01-25,EQ,355.0,355.0,321.0,336.55,324.5,324.8,337.75,374.9,189.0,428444,144707726.75,-
2006-01-27,EQ,328.9,339.2,326.9,324.8,333.5,333.25,332.16,374.9,189.0,776611,257960051.1,-
2006-01-30,EQ,333.25,338.8,324.0,333.25,333.05,333.4,333.24,374.9,197.6,344673,114859932.85,-
2006-01-31,EQ,334.5,339.0,330.05,333.4,336.95,337.05,335.5,374.9,197.6,243650,81743949.95,-
2006-02-01,EQ,337.0,343.0,330.05,337.05,338.75,336.15,337.74,374.9,197.6,316808,106997916.65,-
2006-02-02,EQ,340.0,345.0,330.6,336.15,340.0,338.7,338.07,374.9,197.6,617963,208917145.8,-
