Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2006-01-02,EQ,345.6,346.0,334.0,345.5,339.0,340.05,342.35,377.0,192.5,880654,301495579.3,-
2006-01-03,EQ,343.0,348.45,339.0,340.05,345.0,346.45,343.08,377.0,192.5,633000,217170707.65,-
2006-01-04,EQ,351.0,351.0,343.95,346.45,344.5,344.95,346.56,377.0,192.5,403256,139752894.25,-
2006-01-05,EQ,349.4,349.4,341.0,344.95,343.0,342.45,343.72,377.0,192.5,409431,140730361.1,-
2006-01-06,EQ,346.0,351.5,344.0,342.45,347.0,347.25,348.18,377.0,192.5,709737,247113689.15,-
2006-01-09,EQ,349.0,355.0,347.05,347.25,350.0,351.4,350.83,377.0,192.5,865922,303794736.45,-
2006-01-10,EQ,351.5,351.5,340.05,351.4,341.9,341.2,344.48,377.0,192.5,385845,132913981.15,-
2006-01-12,EQ,338.0,342.9,334.1,341.2,334.95,335.1,337.27,377.0,192.5,588001,198316688.3,-
2006-01-13,EQ,334.0,338.8,333.0,335.1,333.7,334.25,336.16,377.0,192.5,570100,191642383.45,-
2006-01-16,EQ,335.2,337.5,330.25,334.25,335.35,334.4,333.83,377.0,192.5,480404,160373335.25,-
2006-01-17,EQ,336.9,337.9,327.05,334.4,334.4,331.1,333.08,377.0,192.5,552451,184012482.4,-
2006-01-18,EQ,333.0,394.9,322.75,331.1,334.0,330.9,327.74,394.9,192.5,793688,260123941.0,-
2006-01-19,EQ,333.0,348.0,332.0,330.9,345.0,346.3,339.99,394.9,192.5,667462,226933453.95,-
2006-01-20,EQ,341.0,349.0,341.0,346.3,345.65,344.35,344.38,394.9,192.5,720996,248295061.55,-
2006-01-23,EQ,323.6,348.0,323.6,344.35,348.0,344.25,342.15,394.9,192.5,227925,77984195.95,-
2006-01-24,EQ,348.0,355.75,344.2,344.25,346.0,347.65,349.71,394.9,192.5,1641719,574125921.5,-
2006-01-25,EQ,348.65,365.5,343.0,347.65,361.05,355.85,351.46,394.9,192.5,1830619,643389138.3,-
2006-01-27,EQ,358.0,359.9,352.75,355.85,355.85,355.7,356.83,394.9,192.5,936018,333999965.95,-
2006-01-30,EQ,361.0,364.8,357.5,355.7,358.0,358.5,359.87,394.9,192.5,807443,290577282.1,-
2006-01-31,EQ,359.0,361.9,353.6,358.5,357.1,357.25,359.19,394.9,192.5,397805,142887722.4,-
2006-02-01,EQ,357.0,358.9,350.1,357.25,351.45,351.2,353.67,394.9,192.5,355162,125609716.7,-
2006-02-02,EQ,351.2,365.0,350.0,351.2,364.0,363.65,359.9,394.9,192.5,947896,341149521.45,-
2006-02-03,EQ,364.0,376.4,356.05,363.65,364.0,367.05,367.74,394.9,192.5,1631758,600056551.45,-
2006-02-06,EQ,369.0,374.85,363.0,367.05,372.0,369.45,370.53,394.9,192.5,741102,274600147.35,-
2006-02-07,EQ,370.0,377.45,364.75,369.45,369.05,370.85,371.53,394.9,192.5,826052,306903584.7,-
2006-02-08,EQ,369.75,374.0,362.5,370.85,372.0,372.2,368.79,394.9,192.5,519997,191772057.8,-
2006-02-10,EQ,373.0,373.5,362.5,372.2,363.45,363.8,365.58,394.9,192.5,1020510,373082416.55,-
2006-02-13,EQ,364.0,364.95,357.55,363.8,364.5,363.25,361.72,394.9,192.5,625539,226271302.75,-
2006-02-14,EQ,366.0,372.9,362.95,363.25,368.9,367.5,368.53,394.9,192.5,684340,252197346.25,-
2006-02-15,EQ,370.0,378.0,362.9,367.5,364.4,365.7,368.84,394.9,192.5,1060974,391333872.5,-
2006-02-16,EQ,366.0,368.75,360.0,365.7,363.65,363.2,364.57,394.9,192.5,500324,182403501.75,-
2006-02-17,EQ,364.95,368.5,363.55,363.2,364.5,365.15,365.6,394.9,192.5,413895,151319372.85,-
2006-02-20,EQ,364.05,366.0,357.0,365.15,366.0,363.25,360.53,394.9,192.5,290453,104717004.75,-
2006-02-21,EQ,366.8,370.0,363.3,363.25,368.75,368.65,367.7,394.9,192.5,324088,119166727.0,-
2006-02-22,EQ,370.0,372.95,364.5,368.65,365.3,365.5,368.7,394.9,192.5,373574,137735945.15,-
2006-02-23,EQ,367.7,369.9,363.05,365.5,368.5,367.75,367.23,394.9,192.5,973243,357407412.8,-
2006-02-24,EQ,367.5,370.4,363.0,367.75,363.5,364.05,365.31,394.9,192.5,269230,98351120.75,-
2006-02-27,EQ,367.4,367.4,358.2,364.05,360.5,360.75,361.0,394.9,192.5,336969,121646935.3,-
2006-02-28,EQ,361.9,363.2,355.85,360.75,361.0,361.05,359.41,394.9,192.5,392713,141145237.95,-
2006-03-01,EQ,358.0,380.0,358.0,361.05,378.5,377.4,371.85,394.9,192.5,1209495,449745620.75,-
2006-03-02,EQ,381.0,400.5,381.0,377.4,396.0,396.8,393.22,400.5,192.5,2203037,866276659.95,-
2006-03-03,EQ,397.4,411.7,397.4,396.8,409.5,408.1,405.16,411.7,192.5,1987069,805088723.25,-
2006-03-06,EQ,411.0,415.0,402.3,408.1,403.55,404.75,407.23,415.0,192.5,1393817,567600293.2,-
2006-03-07,EQ,404.0,411.85,400.5,404.75,402.15,403.0,405.39,415.0,192.5,871063,353118295.4,-
2006-03-08,EQ,405.0,406.4,387.0,403.0,395.0,391.55,394.57,415.0,192.5,1188646,468998202.95,-
2006-03-09,EQ,388.0,391.4,375.05,391.55,381.5,382.4,380.42,415.0,192.5,1151629,438104570.4,-
2006-03-10,EQ,384.0,394.8,381.55,382.4,384.0,385.8,390.65,415.0,192.5,1304609,509643218.6,-
2006-03-13,EQ,388.1,395.5,388.1,385.8,390.0,389.35,392.19,415.0,192.5,700353,274672598.25,-
2006-03-14,EQ,375.9,390.5,375.9,389.35,386.1,386.35,387.55,415.0,192.5,539454,209067578.3,-
2006-03-16,EQ,389.9,393.4,386.05,386.35,390.1,391.05,388.92,415.0,192.5,477191,185587629.25,-
2006-03-17,EQ,392.5,393.4,384.0,391.05,384.15,386.6,389.44,415.0,192.5,544932,212215617.6,-
2006-03-20,EQ,388.7,389.25,381.3,386.6,382.6,384.2,384.56,415.0,192.5,272234,104691451.35,-
2006-03-21,EQ,384.5,390.75,384.5,384.2,389.85,390.0,389.12,415.0,192.5,565774,220156378.85,-
2006-03-22,EQ,391.0,392.45,384.5,390.0,386.15,386.8,387.96,415.0,192.5,437894,169885564.25,-
2006-03-23,EQ,386.25,389.0,378.0,386.8,379.9,380.65,382.68,415.0,192.5,603367,230896048.15,-
2006-03-24,EQ,382.0,384.9,375.0,380.65,381.0,381.55,381.64,415.0,192.5,452076,172530602.0,-
2006-03-27,EQ,383.0,394.6,383.0,381.55,390.0,392.6,388.46,415.0,192.5,823336,319830820.15,-
2006-03-28,EQ,395.0,398.9,388.9,392.6,392.5,391.7,393.39,415.0,192.5,615354,242072982.65,-
2006-03-29,EQ,390.95,397.35,390.95,391.7,392.25,394.75,394.3,415.0,192.5,330943,130490042.4,-
2006-03-30,EQ,397.9,428.9,395.05,394.75,407.0,413.85,410.86,428.9,192.5,2983476,1225786746.1,-
2006-03-31,EQ,414.5,419.5,402.5,413.85,405.0,412.75,411.78,428.9,192.5,947824,390292217.5,-
2006-04-03,EQ,409.8,424.95,409.0,412.75,423.1,421.65,417.99,428.9,192.5,803451,335835317.0,-
2006-04-04,EQ,427.0,427.0,410.25,421.65,415.15,417.4,417.87,428.9,192.5,699432,292274600.6,-
2006-04-05,EQ,417.1,424.35,414.0,417.4,417.2,418.75,419.61,428.9,192.5,642890,269762954.0,-
2006-04-07,EQ,422.0,422.95,404.5,418.75,409.7,409.55,415.94,428.9,192.5,1121896,466643704.5,-
2006-04-10,EQ,411.0,412.0,397.0,409.55,407.0,404.3,404.17,428.9,192.5,773103,312465393.65,-
2006-04-12,EQ,405.0,410.85,395.0,404.3,396.7,396.55,402.84,428.9,192.5,555523,223787423.95,-
2006-04-13,EQ,398.0,402.0,390.05,396.55,396.5,395.1,395.97,428.9,192.5,293629,116268821.05,-
2006-04-17,EQ,399.0,400.0,382.2,395.1,399.0,395.25,394.77,428.9,192.5,489592,193278475.95,-
2006-04-18,EQ,401.6,407.9,396.5,395.25,405.3,406.7,402.58,428.9,192.5,642378,258611491.55,-
2006-04-19,EQ,410.8,415.0,406.0,406.7,413.9,413.0,411.21,428.9,192.5,560991,230687101.7,-
2006-04-20,EQ,415.2,415.2,406.0,413.0,415.0,412.45,410.26,428.9,192.5,277784,113962799.05,-
2006-04-21,EQ,417.25,418.6,402.9,412.45,410.0,410.55,409.95,428.9,192.5,529207,216946000.1,-
2006-04-24,EQ,414.0,414.0,405.65,410.55,412.7,411.7,410.03,428.9,199.2,204962,84040480.9,-
2006-04-25,EQ,411.5,412.9,336.85,411.7,400.8,399.6,404.33,428.9,199.2,497901,201317853.45,-
2006-04-26,EQ,400.1,414.5,392.0,399.6,409.3,411.8,408.48,428.9,199.2,824081,336620599.15,-
2006-04-27,EQ,418.0,422.9,398.4,411.8,401.2,401.1,415.0,428.9,199.2,1416688,587922670.05,-
2006-04-28,EQ,401.5,411.0,376.0,401.1,403.0,405.7,404.17,428.9,199.2,1232678,498206697.1,-
2006-04-29,EQ,408.8,414.0,406.2,405.7,406.2,407.85,410.22,428.9,199.2,252718,103669858.85,-
2006-05-02,EQ,411.95,415.5,407.55,407.85,409.9,408.8,409.94,428.9,205.25,381608,156437525.4,-
2006-05-03,EQ,413.0,425.4,407.0,408.8,423.5,424.7,418.65,428.9,205.25,827874,346587402.75,-
2006-05-04,EQ,428.4,432.5,417.0,424.7,425.0,424.6,426.84,432.5,205.25,702249,299748923.75,-
2006-05-05,EQ,427.8,427.8,418.0,424.6,420.0,420.75,421.96,432.5,205.25,418134,176433921.2,-
2006-05-08,EQ,420.75,425.4,415.0,420.75,422.0,421.95,419.43,432.5,205.25,469021,196720597.4,-
2006-05-09,EQ,424.9,424.9,406.15,421.95,415.1,415.25,415.41,432.5,205.25,432696,179747939.05,-
2006-05-10,EQ,422.4,422.4,414.2,415.25,419.05,417.15,417.96,432.5,205.25,908486,379711571.55,-
2006-05-11,EQ,417.9,421.0,411.65,417.15,411.65,414.7,417.5,432.5,205.25,498344,208057479.7,-
2006-05-12,EQ,414.9,416.9,406.75,414.7,414.55,415.2,412.48,432.5,205.25,384968,158793277.95,-
2006-05-15,EQ,412.0,415.75,393.0,415.2,413.0,402.9,406.23,432.5,205.25,599143,243390589.4,-
2006-05-16,EQ,405.0,408.0,386.15,402.9,400.0,403.15,398.86,432.5,205.25,498158,198696137.9,-
2006-05-17,EQ,400.05,421.5,399.0,403.15,415.1,416.15,411.37,432.5,205.25,748226,307796452.05,-
2006-05-18,EQ,414.0,415.0,395.0,416.15,397.0,400.4,406.7,432.5,205.25,854758,347628888.75,-
2006-05-19,EQ,405.0,415.4,365.15,400.4,393.0,390.2,399.86,432.5,205.25,670423,268074061.5,-
2006-05-22,EQ,409.8,414.4,350.0,390.2,380.0,361.0,372.85,432.5,205.25,983026,366520567.35,-
2006-05-23,EQ,377.0,385.0,345.0,361.0,372.5,369.65,364.96,432.5,205.25,772798,282038883.85,-
2006-05-24,EQ,372.0,392.0,351.55,369.65,368.0,370.4,372.65,432.5,205.25,1779809,663243291.75,-
2006-05-25,EQ,365.0,400.8,350.0,370.4,390.0,393.8,380.92,432.5,205.25,3226153,1228908312.65,-
2006-05-26,EQ,393.8,396.95,380.0,393.8,387.0,388.3,390.4,432.5,205.25,458217,178889396.1,-
2006-05-29,EQ,399.9,399.9,377.5,388.3,380.0,382.0,384.2,432.5,217.55,508229,195262975.15,-
2006-05-30,EQ,384.0,385.0,370.0,382.0,372.0,374.6,378.29,432.5,217.55,608551,230210931.65,-
2006-05-31,EQ,370.0,372.95,361.0,374.6,370.0,366.6,365.13,432.5,217.55,842467,307610318.8,-
2006-06-01,EQ,369.4,376.9,340.55,366.6,345.0,346.6,352.76,432.5,217.55,1170080,412758205.5,-
2006-06-02,EQ,348.0,369.0,334.0,346.6,368.0,365.95,355.54,432.5,217.55,840932,298981338.2,-
2006-06-05,EQ,355.1,370.0,348.3,365.95,354.1,352.3,356.12,432.5,217.55,579503,206371456.95,-
2006-06-06,EQ,330.0,364.9,330.0,352.3,342.0,345.65,350.43,432.5,217.55,595024,208512202.3,-
2006-06-07,EQ,342.0,360.0,335.0,345.65,356.7,352.85,346.89,432.5,217.55,1009285,350107562.25,-
2006-06-08,EQ,349.0,350.0,324.0,352.85,327.65,328.5,340.48,432.5,217.55,1242643,423096424.8,-
2006-06-09,EQ,334.9,342.0,325.05,328.5,335.0,336.3,338.06,432.5,217.55,733335,247909756.15,-
2006-06-12,EQ,339.0,339.0,322.5,336.3,323.0,324.15,327.07,432.5,217.55,513576,167973894.25,-
2006-06-13,EQ,318.0,328.0,307.3,324.15,319.0,321.35,315.4,432.5,217.55,516717,162973713.5,-
2006-06-14,EQ,325.05,346.0,320.25,321.35,332.7,326.7,334.34,432.5,217.55,1671460,558830812.0,-
2006-06-15,EQ,335.0,348.0,330.15,326.7,346.15,341.45,337.05,432.5,217.55,811342,273460935.0,-
2006-06-16,EQ,350.0,372.0,347.1,341.45,366.05,365.85,358.06,432.5,217.55,704476,252242502.8,-
2006-06-19,EQ,358.0,370.0,355.15,365.85,362.65,362.15,361.19,432.5,229.8,352849,127447054.9,-
2006-06-20,EQ,355.0,357.9,345.05,362.15,350.0,352.2,351.88,432.5,229.8,669171,235469220.25,-
2006-06-21,EQ,348.0,370.95,341.0,352.2,370.95,368.75,357.08,432.5,229.8,758384,270803107.15,-
2006-06-22,EQ,379.1,384.0,360.0,368.75,363.0,364.7,372.01,432.5,229.8,1021510,380013577.7,-
2006-06-23,EQ,355.0,374.0,347.0,364.7,370.0,370.4,363.29,432.5,229.8,1676407,609023457.65,-
2006-06-25,EQ,375.0,375.0,363.5,370.4,367.95,366.15,367.72,432.5,229.8,63021,23174231.55,-
2006-06-26,EQ,365.0,372.0,357.05,366.15,357.2,360.85,366.12,432.5,229.8,551789,202022673.05,-
2006-06-27,EQ,363.0,370.0,350.5,360.85,359.7,361.0,360.16,432.5,229.8,1230438,443149962.3,-
2006-06-28,EQ,361.0,367.0,351.0,361.0,359.0,362.25,357.9,432.5,229.8,1017346,364109751.3,-
2006-06-29,EQ,353.5,379.0,353.5,362.25,361.5,359.5,368.92,432.5,229.8,2084109,768874997.15,-
2006-06-30,EQ,373.3,375.0,366.25,359.5,370.15,370.0,369.95,432.5,229.8,856081,316704332.7,-
2006-07-03,EQ,370.05,371.9,361.25,370.0,369.85,369.9,367.4,432.5,229.8,711185,261288715.4,-
2006-07-04,EQ,365.2,373.0,361.0,369.9,365.0,364.4,365.99,432.5,229.8,493438,180595617.35,-
2006-07-05,EQ,368.0,372.0,360.0,364.4,371.5,370.0,365.98,432.5,229.8,731840,267836197.0,-
2006-07-06,EQ,367.0,371.5,364.4,370.0,367.5,367.05,366.98,432.5,229.8,520374,190968704.45,-
2006-07-07,EQ,371.9,378.25,361.0,367.05,371.15,371.0,371.15,432.5,229.8,1140389,423258540.2,-
2006-07-10,EQ,372.5,391.5,370.0,371.0,388.2,389.65,383.81,432.5,248.1,1786853,685814379.65,-
2006-07-11,EQ,386.0,389.0,380.0,389.65,382.5,382.25,383.9,432.5,248.1,686932,263716093.25,-
2006-07-12,EQ,374.0,391.0,374.0,382.25,383.75,382.85,381.31,432.5,248.1,602982,229923581.25,-
2006-07-13,EQ,383.4,384.0,366.0,382.85,374.0,371.3,372.09,432.5,248.1,1100805,409593053.6,-
2006-07-14,EQ,363.65,370.0,358.0,371.3,361.5,362.0,363.02,432.5,248.1,1086315,394353836.4,-
2006-07-17,EQ,362.0,362.0,351.0,362.0,360.0,355.45,354.71,432.5,248.1,712533,252742414.3,-
2006-07-18,EQ,359.0,364.9,351.0,355.45,360.0,360.4,356.49,432.5,248.1,584199,208261770.85,-
2006-07-19,EQ,364.95,365.85,345.4,360.4,355.5,353.9,356.21,432.5,248.1,591005,210521790.8,-
2006-07-20,EQ,359.9,370.0,358.5,353.9,365.9,364.45,365.68,432.5,248.1,1125335,411514676.9,-
2006-07-21,EQ,364.0,364.0,354.25,364.45,357.0,357.85,358.42,432.5,248.1,339763,121777381.1,-
2006-07-24,EQ,357.0,369.0,348.1,357.85,365.0,365.25,361.28,432.5,260.1,690793,249568055.65,-
2006-07-25,EQ,367.0,374.8,365.05,365.25,367.25,369.45,369.22,432.5,260.1,693189,255937029.1,-
2006-07-26,EQ,372.0,384.0,367.0,369.45,380.05,382.6,376.31,432.5,260.1,2176566,819054015.4,-
2006-07-27,EQ,384.0,400.0,384.0,382.6,395.0,395.65,392.23,432.5,260.1,1890509,741506659.45,-
2006-07-28,EQ,395.25,398.0,381.25,395.65,384.2,385.65,388.66,432.5,260.1,680134,264342343.65,-
2006-07-31,EQ,404.8,404.8,380.0,385.65,381.0,383.05,387.67,432.5,279.55,646112,250477450.55,-
2006-08-01,EQ,383.0,392.9,377.1,383.05,390.5,391.2,385.84,432.5,279.55,606302,233934181.05,-
2006-08-02,EQ,392.0,396.8,390.0,391.2,391.1,393.05,393.05,432.5,279.55,781676,307238406.05,-
2006-08-03,EQ,396.0,405.0,390.05,393.05,398.0,399.15,400.02,432.5,279.55,1111889,444776751.65,-
2006-08-04,EQ,399.0,408.0,398.5,399.15,400.0,400.7,404.29,432.5,279.55,1195775,483434778.85,-
2006-08-07,EQ,402.0,403.0,390.0,400.7,392.95,392.3,393.54,432.5,287.0,398610,156867665.55,-
2006-08-08,EQ,392.5,405.7,386.0,392.3,404.95,404.65,402.74,432.5,287.0,966320,389175661.55,-
2006-08-09,EQ,408.1,410.5,401.1,404.65,403.6,404.0,407.28,432.5,287.0,1135679,462542516.95,-
2006-08-10,EQ,395.65,410.0,395.65,404.0,408.95,409.05,406.27,432.5,287.0,975158,396177249.8,-
2006-08-11,EQ,408.5,415.0,400.1,409.05,405.0,405.05,405.92,432.5,287.0,532394,216107392.05,-
2006-08-14,EQ,407.0,414.5,403.5,405.05,414.5,413.0,410.11,432.5,301.1,670593,275016600.0,-
2006-08-16,EQ,417.0,420.0,410.1,413.0,412.6,413.7,414.51,432.5,301.1,762469,316048608.55,-
2006-08-17,EQ,413.7,417.8,408.05,413.7,413.2,414.6,414.21,432.5,301.1,1014970,420407127.9,-
2006-08-18,EQ,406.55,414.45,406.55,414.6,409.6,409.65,410.36,432.5,301.1,333816,136986147.25,-
2006-08-21,EQ,415.5,415.5,400.0,409.65,412.85,409.9,408.65,432.5,301.1,632811,258596055.05,-
2006-08-22,EQ,411.0,419.9,405.55,409.9,408.0,409.4,413.8,432.5,301.1,819453,339089134.25,-
2006-08-23,EQ,409.4,414.9,404.2,409.4,407.0,406.0,408.7,432.5,301.1,552389,225760638.45,-
2006-08-24,EQ,401.0,416.0,400.2,406.0,415.15,415.3,409.84,432.5,301.1,1299481,532579499.25,-
2006-08-25,EQ,419.9,419.9,414.1,415.3,418.6,417.55,416.91,432.5,301.1,500180,208528445.7,-
2006-08-28,EQ,417.0,418.0,411.05,417.55,418.0,416.7,414.91,432.5,301.1,435417,180658680.15,-
2006-08-29,EQ,419.0,419.5,412.15,416.7,414.0,415.25,416.15,432.5,301.1,641297,266875660.8,-
2006-08-30,EQ,415.0,418.9,408.2,415.25,413.2,413.8,412.66,432.5,301.1,457754,188897146.8,-
2006-08-31,EQ,414.0,417.9,408.5,413.8,412.0,411.05,412.35,432.5,301.1,732827,302179353.05,-
2006-09-01,EQ,414.0,414.9,410.0,411.05,413.55,413.2,412.75,432.5,301.1,194366,80224232.3,-
2006-09-04,EQ,414.0,419.85,412.5,413.2,418.4,418.6,417.18,432.5,305.15,590625,246398334.35,-
2006-09-05,EQ,419.0,420.8,414.85,418.6,418.05,417.95,417.2,432.5,305.15,783219,326756363.15,-
2006-09-06,EQ,418.5,429.0,415.5,417.95,428.45,427.25,422.32,432.5,305.15,1361955,575182264.2,-
2006-09-07,EQ,427.0,432.7,422.0,427.25,423.0,423.9,427.35,432.7,305.15,736520,314754913.55,-
2006-09-08,EQ,427.9,431.9,424.6,423.9,430.55,430.45,427.74,432.7,305.15,884834,378481072.45,-
2006-09-11,EQ,432.0,433.9,414.35,430.45,416.0,421.35,425.22,433.9,305.15,1106426,470470902.45,-
2006-09-12,EQ,424.0,427.0,414.0,421.35,423.5,423.0,422.5,433.9,305.15,620259,262058132.1,-
2006-09-13,EQ,425.0,445.8,425.0,423.0,444.05,443.1,437.35,445.8,305.15,1539128,673139462.05,-
2006-09-14,EQ,446.0,449.8,437.5,443.1,439.0,439.1,442.4,449.8,305.15,1166071,515869368.0,-
2006-09-15,EQ,440.0,447.55,431.0,439.1,444.7,446.0,444.48,449.8,305.15,947897,421321716.25,-
2006-09-18,EQ,442.0,451.0,442.0,446.0,444.0,443.9,446.9,451.0,305.15,372150,166313211.25,-
2006-09-19,EQ,440.1,448.0,433.5,443.9,434.5,439.5,443.15,451.0,305.15,552581,244878378.85,-
2006-09-20,EQ,436.55,471.0,431.0,439.5,459.9,462.4,454.19,471.0,305.15,1176501,534355111.7,-
2006-09-21,EQ,472.45,472.45,460.0,462.4,465.8,465.55,464.16,472.45,305.15,1168405,542323666.0,-
2006-09-22,EQ,465.7,475.8,461.0,465.55,470.5,469.2,470.27,475.8,305.15,1287489,605466818.15,-
2006-09-25,EQ,473.0,477.4,466.35,469.2,475.15,473.65,473.45,477.4,305.15,1087574,514915312.05,-
2006-09-26,EQ,484.0,484.0,466.1,473.65,481.0,479.55,474.12,484.0,305.15,936469,444001460.1,-
2006-09-27,EQ,485.0,485.7,473.55,479.55,477.0,476.25,479.11,485.7,305.15,848301,406432082.5,-
2006-09-28,EQ,477.0,480.0,467.0,476.25,471.0,472.4,472.58,485.7,305.15,931274,440099333.5,-
2006-09-29,EQ,475.9,476.4,467.2,472.4,468.65,469.25,471.94,485.7,305.15,395469,186638198.35,-
2006-10-03,EQ,485.0,485.0,465.0,469.25,467.8,467.45,468.3,485.7,305.15,290726,136147315.85,-
2006-10-04,EQ,468.55,469.9,458.0,467.45,459.3,461.55,462.79,485.7,305.15,399648,184954067.05,-
2006-10-05,EQ,457.2,467.9,448.0,461.55,461.0,459.95,462.35,485.7,305.15,546595,252716167.05,-
2006-10-06,EQ,465.0,465.0,457.2,459.95,460.1,460.35,459.61,485.7,305.15,674849,310167921.65,-
2006-10-09,EQ,463.15,468.9,455.0,460.35,463.0,464.25,462.17,485.7,305.15,583591,269715636.05,-
2006-10-10,EQ,467.0,472.95,466.65,464.25,467.0,468.8,469.57,485.7,305.15,403953,189685009.9,-
2006-10-11,EQ,472.0,475.95,462.0,468.8,475.0,472.8,471.74,485.7,305.15,742642,350334376.45,-
2006-10-12,EQ,471.5,477.0,465.1,472.8,475.45,475.85,471.55,485.7,305.15,342841,161665354.8,-
2006-10-13,EQ,482.0,482.0,474.3,475.85,475.2,477.4,478.84,485.7,305.15,631118,302205498.35,-
2006-10-16,EQ,474.25,489.0,467.15,477.4,487.5,486.1,482.77,489.0,305.15,681749,329130494.9,-
2006-10-17,EQ,482.15,488.65,395.0,486.1,487.0,487.45,484.47,489.0,305.15,503257,243812061.6,-
2006-10-18,EQ,490.0,495.0,481.9,487.45,492.15,493.25,490.06,495.0,305.15,685639,336005790.95,-
2006-10-19,EQ,494.0,494.9,485.25,493.25,489.95,490.8,490.82,495.0,305.15,606409,297635067.5,-
