Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2006-01-02,EQ,708.75,719.95,707.0,708.75,712.0,713.45,713.95,765.0,448.0,268552,191731436.85,-
2006-01-03,EQ,680.0,718.0,680.0,713.45,714.25,713.3,713.82,765.0,448.0,128279,91568406.45,-
2006-01-04,EQ,720.0,735.05,714.0,713.3,730.55,732.05,724.49,765.0,448.0,536992,389045785.35,-
2006-01-05,EQ,732.0,743.0,725.25,732.05,735.0,739.5,736.08,765.0,448.0,385350,283650242.0,-
2006-01-06,EQ,740.0,775.0,730.0,739.5,768.0,768.95,754.63,775.0,448.0,861686,650250906.75,-
2006-01-09,EQ,758.2,773.0,740.0,768.95,758.0,764.85,763.05,775.0,448.0,551770,421028531.2,-
2006-01-10,EQ,764.9,770.0,745.3,764.85,748.0,748.35,753.9,775.0,448.0,679980,512637103.65,-
2006-01-12,EQ,748.35,758.8,740.0,748.35,744.9,746.65,749.65,775.0,448.0,394951,296074141.2,-
2006-01-13,EQ,752.8,752.8,726.0,746.65,730.8,729.9,740.9,775.0,448.0,338288,250635902.8,-
2006-01-16,EQ,739.0,747.1,727.0,729.9,741.3,741.4,740.33,775.0,448.0,342812,253794175.95,-
2006-01-17,EQ,741.0,752.95,741.0,741.4,749.0,749.0,748.22,775.0,448.0,261012,195295337.3,-
2006-01-18,EQ,744.0,752.5,720.1,749.0,736.0,744.7,731.72,775.0,448.0,624486,456946085.85,-
2006-01-19,EQ,744.7,744.7,720.3,744.7,730.75,728.45,729.08,775.0,448.0,643350,469051657.5,-
2006-01-20,EQ,730.5,744.0,722.1,728.45,723.55,725.15,729.61,775.0,448.0,485215,354016516.85,-
2006-01-23,EQ,725.5,729.8,701.0,725.15,721.0,719.5,720.91,775.0,448.0,417751,301159384.8,-
2006-01-24,EQ,722.0,729.0,713.55,719.5,715.35,715.9,719.44,775.0,448.0,634509,456490616.75,-
2006-01-25,EQ,716.25,729.0,713.15,715.9,722.05,718.9,718.21,775.0,448.0,877702,630372746.55,-
2006-01-27,EQ,744.8,750.0,731.05,718.9,732.2,737.1,738.16,775.0,448.0,665114,490958757.9,-
2006-01-30,EQ,737.1,748.95,734.1,737.1,742.0,743.55,742.21,775.0,448.0,331146,245780441.25,-
2006-01-31,EQ,736.2,766.4,730.0,743.55,760.25,762.45,754.03,775.0,448.0,615004,463732839.15,-
2006-02-01,EQ,765.0,774.0,735.0,762.45,737.95,738.8,753.36,775.0,448.0,637204,480046520.75,-
2006-02-02,EQ,738.8,752.0,736.05,738.8,737.0,739.5,745.2,775.0,448.0,477656,355947053.5,-
2006-02-03,EQ,734.0,739.65,724.5,739.5,734.0,731.85,728.0,775.0,448.0,276902,201585927.8,-
2006-02-06,EQ,731.85,750.0,726.0,731.85,742.35,744.8,739.22,775.0,448.0,574649,424792342.65,-
2006-02-07,EQ,736.0,775.0,735.2,744.8,775.0,770.75,759.09,775.0,448.0,874349,663708150.25,-
2006-02-08,EQ,772.0,772.0,750.0,770.75,764.15,762.45,757.0,775.0,448.0,335222,253763428.6,-
2006-02-10,EQ,768.9,772.0,752.2,762.45,755.15,762.05,761.77,775.0,448.0,606121,461724765.05,-
2006-02-13,EQ,751.0,762.0,743.05,762.05,745.5,746.45,750.74,775.0,448.0,290988,218457194.7,-
2006-02-14,EQ,751.0,759.95,739.2,746.45,749.9,747.9,749.14,775.0,448.0,598994,448730054.85,-
2006-02-15,EQ,749.0,755.0,737.0,747.9,744.0,743.75,745.49,775.0,448.0,406091,302737886.35,-
2006-02-16,EQ,743.75,768.9,736.3,743.75,757.05,760.0,755.91,775.0,448.0,474465,358653331.75,-
2006-02-17,EQ,767.5,767.5,736.5,760.0,745.0,742.35,743.98,775.0,448.0,479132,356463244.65,-
