Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2006-01-02,EQ,587.7,609.9,587.7,585.05,593.95,597.0,599.51,614.95,325.2,10240898,6139526549.9,-
2006-01-03,EQ,597.0,608.5,574.6,597.0,608.0,606.5,602.31,614.95,325.2,4660361,2806982021.0,-
2006-01-04,EQ,611.0,621.0,608.0,606.5,612.35,613.7,613.29,621.0,325.2,5243877,3216040522.15,-
2006-01-05,EQ,617.9,617.9,594.5,613.7,601.15,604.55,605.01,621.0,325.2,2302357,1392959517.0,-
2006-01-06,EQ,605.8,609.75,594.65,604.55,598.5,600.15,602.21,621.0,325.2,669934,403439576.1,-
2006-01-09,EQ,601.0,603.7,587.05,600.15,590.0,591.2,593.76,621.0,325.2,1242288,737625115.35,-
2006-01-10,EQ,593.95,595.0,582.1,591.2,586.55,585.25,588.48,621.0,325.2,1013414,596378367.65,-
2006-01-12,EQ,585.0,587.0,576.0,585.25,578.0,577.8,579.61,621.0,325.2,829988,481066637.25,-
2006-01-13,EQ,579.0,591.9,578.0,577.8,583.0,584.0,586.55,621.0,325.2,842148,493961703.0,-
2006-01-16,EQ,585.0,585.0,565.0,584.0,576.0,573.3,572.96,621.0,325.2,711908,407891316.55,-
2006-01-17,EQ,574.8,583.9,561.1,573.3,562.05,564.4,572.25,621.0,325.2,869158,497373857.2,-
2006-01-18,EQ,560.0,567.0,545.0,564.4,561.0,559.15,555.18,621.0,325.2,1935331,1074448994.45,-
2006-01-19,EQ,563.0,574.4,563.0,559.15,573.55,569.55,567.98,621.0,325.2,1581405,898211831.0,-
2006-01-20,EQ,585.0,585.0,570.1,569.55,580.35,579.5,577.27,621.0,325.2,2140277,1235510708.7,-
2006-01-23,EQ,576.0,578.95,565.0,579.5,570.5,570.7,572.77,621.0,330.0,1053309,603304625.25,-
2006-01-24,EQ,574.3,578.0,570.1,570.7,571.75,573.1,573.24,621.0,330.0,1706958,978496405.9,-
2006-01-25,EQ,574.05,605.85,573.25,573.1,597.05,597.05,593.8,621.0,330.0,6084144,3612782327.6,-
2006-01-27,EQ,605.3,621.4,601.0,597.05,617.4,619.55,610.62,621.4,330.0,2796068,1707334924.9,-
2006-01-30,EQ,601.0,620.0,530.05,619.55,616.0,614.65,613.13,621.4,347.25,1165407,714544554.65,-
2006-01-31,EQ,619.8,619.8,608.0,614.65,609.0,609.25,610.27,621.4,347.25,554779,338563723.95,-
2006-02-01,EQ,619.9,619.9,588.6,609.25,592.0,590.2,597.63,621.4,347.25,871478,520820532.95,-
2006-02-02,EQ,608.0,608.0,576.1,590.2,579.25,579.95,587.27,621.4,347.25,1276344,749560544.6,-
2006-02-03,EQ,579.95,580.0,566.1,579.95,571.1,570.95,570.01,621.4,347.25,700190,399113409.6,-
2006-02-06,EQ,580.0,612.35,580.0,570.95,610.1,608.25,605.08,621.4,350.0,5662868,3426509605.85,-
2006-02-07,EQ,606.4,635.0,602.0,608.25,624.9,628.75,623.15,635.0,350.0,4782786,2980413669.25,-
2006-02-08,EQ,621.1,630.0,607.0,628.75,620.0,619.1,619.95,635.0,350.0,2765197,1714290410.7,-
2006-02-10,EQ,623.0,623.0,597.25,619.1,603.55,603.8,606.1,635.0,350.0,1211479,734275010.5,-
2006-02-13,EQ,605.5,614.0,605.05,603.8,610.5,609.5,610.28,635.0,350.0,437176,266797767.3,-
2006-02-14,EQ,609.5,611.0,593.55,609.5,599.0,596.5,602.13,635.0,350.0,631244,380090248.75,-
2006-02-15,EQ,511.8,606.0,511.8,596.5,597.0,598.3,600.57,635.0,350.0,502362,301703192.65,-
2006-02-16,EQ,576.0,601.9,576.0,598.3,599.5,597.8,598.1,635.0,350.0,311793,186483625.8,-
2006-02-17,EQ,601.0,604.25,585.0,597.8,588.45,586.9,591.54,635.0,350.0,988953,585003296.4,-
2006-02-20,EQ,592.0,594.9,571.55,586.9,593.5,591.75,584.72,635.0,350.0,618167,361453261.85,-
2006-02-21,EQ,594.9,599.1,590.0,591.75,592.5,593.35,594.93,635.0,350.0,475051,282622861.5,-
2006-02-22,EQ,593.0,597.0,586.05,593.35,595.15,594.3,591.58,635.0,350.0,577301,341520993.1,-
2006-02-23,EQ,597.0,602.0,583.1,594.3,589.0,588.4,593.44,635.0,350.0,864713,513154005.2,-
2006-02-24,EQ,588.0,596.0,583.2,588.4,592.5,593.8,589.29,635.0,350.0,623458,367395821.9,-
2006-02-27,EQ,593.8,598.3,592.7,593.8,595.1,596.6,595.68,635.0,350.0,268049,159670225.05,-
2006-02-28,EQ,596.6,619.0,596.6,596.6,614.2,615.25,608.67,635.0,350.0,1565579,952915247.25,-
2006-03-01,EQ,600.0,620.0,560.0,615.25,614.4,616.55,613.05,635.0,350.0,1160638,711523885.9,-
2006-03-02,EQ,620.0,628.85,608.3,616.55,619.1,620.4,622.58,635.0,350.0,1927341,1199915271.35,-
2006-03-03,EQ,620.0,623.9,609.05,620.4,613.5,611.8,615.49,635.0,350.0,464912,286148937.85,-
2006-03-06,EQ,615.0,618.9,610.25,611.8,612.5,613.35,614.61,635.0,350.0,453033,278438604.9,-
2006-03-07,EQ,612.0,613.7,597.2,613.35,598.0,600.9,602.44,635.0,350.0,999838,602344261.3,-
2006-03-08,EQ,595.0,603.0,590.0,600.9,595.7,591.55,594.59,635.0,350.0,607048,360947675.75,-
2006-03-09,EQ,596.0,604.5,580.0,591.55,598.9,601.75,591.55,635.0,350.0,754433,446281184.75,-
2006-03-10,EQ,603.7,616.0,595.0,601.75,614.0,614.35,610.99,635.0,350.0,1053207,643500903.15,-
2006-03-13,EQ,615.0,617.95,601.2,614.35,607.5,605.2,609.47,635.0,350.0,506930,308960409.25,-
2006-03-14,EQ,605.0,640.0,602.0,605.2,603.0,606.9,610.76,640.0,350.0,1013118,618776931.85,-
2006-03-16,EQ,613.25,613.25,603.65,606.9,610.0,610.8,608.29,640.0,350.0,632116,384510581.75,-
2006-03-17,EQ,606.0,612.5,605.0,610.8,607.0,606.15,609.11,640.0,350.0,355569,216582126.05,-
2006-03-20,EQ,606.15,609.0,603.1,606.15,605.0,606.25,606.26,640.0,356.05,257475,156096459.25,-
2006-03-21,EQ,609.0,609.0,595.0,606.25,598.5,598.2,603.33,640.0,356.05,789786,476498847.6,-
2006-03-22,EQ,596.0,598.0,588.1,598.2,591.55,592.75,593.29,640.0,356.05,448629,266165209.75,-
2006-03-23,EQ,597.9,603.9,590.5,592.75,592.0,592.5,594.62,640.0,356.05,447336,265996338.7,-
2006-03-24,EQ,590.0,600.0,588.0,592.5,598.5,598.65,596.71,640.0,356.05,398391,237724786.05,-
2006-03-27,EQ,600.0,610.0,598.0,598.65,599.95,598.95,600.89,640.0,356.05,469878,282343735.4,-
2006-03-28,EQ,602.0,604.0,590.0,598.95,592.2,592.6,594.86,640.0,356.05,418702,249069236.1,-
