Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2006-01-02,EQ,227.55,229.0,223.1,223.4,224.65,225.1,225.83,547.8,162.65,169491,38276187.0,-
2006-01-03,EQ,227.45,236.0,225.9,225.1,234.6,234.8,232.37,547.8,162.65,450591,104702106.3,-
2006-01-04,EQ,237.0,242.6,235.0,234.8,237.5,238.7,239.76,547.8,162.65,454264,108915056.3,-
2006-01-05,EQ,239.95,246.5,237.1,238.7,245.1,245.05,242.19,547.8,162.65,359643,87100877.25,-
2006-01-06,EQ,246.25,248.75,237.0,245.05,239.15,239.85,243.39,547.8,162.65,320981,78124449.4,-
2006-01-09,EQ,240.0,244.0,237.0,239.85,242.0,242.45,241.08,547.8,162.65,279280,67327763.0,-
2006-01-10,EQ,242.0,242.0,237.1,242.45,239.5,238.85,239.39,547.8,162.65,210907,50488569.9,-
2006-01-12,EQ,239.0,239.0,229.8,238.85,231.9,231.1,233.64,547.8,162.65,124501,29088489.5,-
2006-01-13,EQ,232.1,237.5,228.1,231.1,229.85,230.25,232.27,547.8,162.65,190761,44308285.4,-
2006-01-16,EQ,231.5,234.4,224.0,230.25,225.4,225.15,227.46,547.8,162.65,153150,34836211.15,-
2006-01-17,EQ,226.0,229.05,222.25,225.15,223.0,223.85,227.11,547.8,162.65,185416,42109246.35,-
2006-01-18,EQ,228.0,228.85,219.0,223.85,219.0,220.7,222.38,547.8,162.65,281420,62582957.15,-
2006-01-19,EQ,222.0,227.5,222.0,220.7,223.9,223.95,224.29,547.8,162.65,267998,60108186.45,-
2006-01-20,EQ,224.6,240.0,224.6,223.95,238.0,238.2,235.07,547.8,162.65,513757,120770156.65,-
2006-01-23,EQ,237.9,238.0,232.05,238.2,235.55,235.05,234.42,547.8,162.65,131657,30863505.55,-
2006-01-24,EQ,235.55,239.7,232.5,235.05,234.75,233.95,236.92,547.8,162.65,163097,38640398.65,-
2006-01-25,EQ,235.6,236.85,227.0,233.95,229.0,228.6,231.66,547.8,162.65,104278,24156702.45,-
2006-01-27,EQ,230.0,244.0,230.0,228.6,239.5,239.9,239.12,547.8,162.65,374668,89589303.85,-
2006-01-30,EQ,241.45,241.65,231.2,239.9,239.55,240.15,237.45,547.8,162.65,196212,46590662.85,-
2006-01-31,EQ,221.25,240.0,221.25,240.15,233.25,234.0,234.7,547.8,162.65,148959,34961411.3,-
2006-02-01,EQ,236.4,236.4,230.5,234.0,233.6,234.05,233.69,547.8,162.65,214638,50159008.1,-
2006-02-02,EQ,231.1,236.0,226.5,234.05,227.0,227.65,229.63,547.8,162.65,106904,24548717.1,-
2006-02-03,EQ,228.7,233.0,227.0,227.65,232.2,231.3,230.67,547.8,162.65,164594,37966538.85,-
2006-02-06,EQ,234.85,251.5,231.0,231.3,248.0,246.35,242.38,547.8,162.65,612664,148499453.05,-
2006-02-07,EQ,247.0,259.9,246.5,246.35,258.5,257.9,252.1,547.8,162.65,713188,179797702.8,-
2006-02-08,EQ,258.0,258.0,241.65,257.9,249.25,250.55,252.17,547.8,162.65,521709,131559592.3,-
2006-02-10,EQ,251.0,253.45,239.4,250.55,242.0,240.25,245.09,547.8,162.65,675265,165503693.5,-
2006-02-13,EQ,243.85,245.95,240.0,240.25,242.75,242.55,242.92,547.8,162.65,251299,61045807.0,-
2006-02-14,EQ,245.8,245.8,236.15,242.55,240.05,238.7,239.64,547.8,162.65,215652,51678750.8,-
2006-02-15,EQ,238.7,243.9,237.0,238.7,238.95,237.65,238.85,547.8,162.65,69559,16614115.0,-
2006-02-16,EQ,241.0,241.0,235.0,237.65,235.4,235.75,237.78,547.8,162.65,65080,15474619.4,-
2006-02-17,EQ,237.75,239.9,232.0,235.75,233.9,233.7,235.06,547.8,162.65,73652,17312588.25,-
2006-02-20,EQ,233.1,234.95,227.8,233.7,230.0,231.3,230.3,547.8,162.65,92916,21398217.15,-
2006-02-21,EQ,233.75,238.0,230.6,231.3,232.75,231.8,233.81,547.8,162.65,72280,16899921.35,-
2006-02-22,EQ,234.0,234.75,227.2,231.8,229.5,229.3,230.21,547.8,162.65,102048,23492698.8,-
2006-02-23,EQ,231.75,232.75,230.0,229.3,231.0,230.8,230.97,547.8,162.65,68299,15774690.25,-
2006-02-24,EQ,231.0,238.0,230.0,230.8,232.95,233.8,234.57,547.8,162.65,136998,32135581.3,-
2006-02-27,EQ,228.0,235.7,228.0,233.8,233.0,232.9,232.76,547.8,162.65,55291,12869397.05,-
2006-02-28,EQ,235.0,240.75,225.0,232.9,229.0,229.3,230.83,547.8,162.65,72921,16832094.0,-
2006-03-01,EQ,231.0,244.0,231.0,229.3,243.9,238.9,236.21,547.8,162.65,174356,41184982.5,-
2006-03-02,EQ,250.05,284.0,241.0,238.9,244.0,248.0,250.52,547.8,162.65,1019145,255320336.15,-
2006-03-03,EQ,249.85,249.85,245.0,248.0,248.0,247.7,247.18,547.8,162.65,267422,66100331.35,-
2006-03-06,EQ,249.0,251.0,239.0,247.7,239.5,239.55,241.85,547.8,162.65,184178,44542559.9,-
2006-03-07,EQ,240.0,241.9,235.15,239.55,236.85,236.45,238.13,547.8,162.65,114602,27289752.9,-
2006-03-08,EQ,237.5,238.0,228.1,236.45,228.8,229.1,231.68,547.8,162.65,204816,47451933.5,-
2006-03-09,EQ,230.45,244.9,230.45,229.1,243.9,242.9,240.05,547.8,162.65,741370,177966049.35,-
2006-03-10,EQ,244.0,247.9,234.35,242.9,237.5,236.25,240.97,547.8,162.65,269579,64959403.75,-
2006-03-13,EQ,236.4,241.7,229.0,236.25,231.2,230.05,232.77,547.8,162.65,297548,69261273.45,-
2006-03-14,EQ,230.0,236.5,229.5,230.05,230.4,230.3,232.23,547.8,162.65,221386,51413549.75,-
2006-03-16,EQ,235.25,247.5,235.0,230.3,246.35,246.3,244.51,547.8,162.65,2032497,496965765.1,-
2006-03-17,EQ,247.85,253.0,245.2,246.3,251.25,250.7,249.53,547.8,162.65,949873,237018222.65,-
2006-03-20,EQ,252.25,262.0,251.0,250.7,258.7,257.6,257.85,547.8,162.65,1019443,262858907.6,-
2006-03-21,EQ,258.8,266.6,253.0,257.6,264.45,263.4,261.93,547.8,162.65,566441,148366590.3,-
2006-03-22,EQ,265.95,269.0,252.6,263.4,269.0,267.0,264.69,547.8,162.65,439888,116435899.35,-
2006-03-23,EQ,267.0,280.95,267.0,267.0,275.0,274.15,274.69,547.8,162.65,337427,92686138.35,-
2006-03-24,EQ,277.1,282.0,274.0,274.15,282.0,280.0,278.3,547.8,162.65,243852,67863927.95,-
2006-03-27,EQ,280.0,282.0,274.0,280.0,275.1,275.6,275.48,547.8,162.65,227178,62582605.55,-
2006-03-28,EQ,275.6,279.0,274.25,275.6,274.5,275.4,275.81,547.8,162.65,103060,28424627.4,-
2006-03-29,EQ,275.95,285.95,268.2,275.4,285.0,283.8,276.84,547.8,162.65,176875,48965379.9,-
2006-03-30,EQ,292.9,294.0,275.5,283.8,278.0,280.05,285.94,547.8,162.65,216735,61972336.5,-
2006-03-31,EQ,262.25,283.8,262.25,280.05,280.95,279.25,279.27,547.8,162.65,119790,33453760.05,-
2006-04-03,EQ,282.75,285.95,280.05,279.25,285.7,284.75,283.72,547.8,162.65,89784,25473352.5,-
2006-04-04,EQ,287.8,289.9,281.0,284.75,283.75,282.7,284.51,547.8,162.65,66812,19008594.05,-
2006-04-05,EQ,286.75,288.15,281.0,282.7,283.0,282.6,283.17,547.8,162.65,58853,16665239.55,-
2006-04-07,EQ,287.25,287.25,278.0,282.6,283.0,281.05,281.29,547.8,162.65,100027,28136333.5,-
2006-04-10,EQ,267.0,283.95,267.0,281.05,280.0,280.0,280.23,547.8,162.65,74343,20832929.95,-
2006-04-12,EQ,280.9,290.0,280.9,280.0,281.9,284.1,285.02,547.8,162.65,183612,52333363.95,-
2006-04-13,EQ,284.0,285.0,252.0,284.1,276.0,274.5,269.55,547.8,162.65,258129,69577794.15,-
2006-04-17,EQ,281.9,284.9,274.55,274.5,281.3,281.15,280.01,547.8,162.65,160453,44928729.85,-
2006-04-18,EQ,278.1,292.0,277.0,281.15,288.0,287.25,286.34,547.8,162.65,134958,38643754.15,-
2006-04-19,EQ,289.9,293.0,285.1,287.25,287.5,287.15,288.93,547.8,162.65,85854,24805489.5,-
2006-04-20,EQ,287.0,304.0,284.25,287.15,300.0,300.2,296.22,547.8,162.65,266612,78976101.05,-
2006-04-21,EQ,300.0,323.8,298.0,300.2,317.0,316.5,312.95,547.8,162.65,302760,94748242.2,-
2006-04-24,EQ,317.0,322.9,302.1,316.5,305.0,304.7,310.67,547.8,162.65,193366,60072381.4,-
2006-04-25,EQ,303.0,314.5,301.0,304.7,307.4,307.45,308.87,547.8,162.65,144782,44718884.8,-
2006-04-26,EQ,301.5,311.9,291.0,307.45,308.0,309.4,309.66,547.8,162.65,115661,35816026.2,-
2006-04-27,EQ,309.0,314.6,304.0,309.4,312.0,310.7,309.64,547.8,162.65,152913,47348275.85,-
2006-04-28,EQ,290.0,318.8,279.7,310.7,311.0,314.25,309.28,547.8,162.65,120955,37409475.2,-
2006-04-29,EQ,312.0,318.0,310.0,314.25,310.9,310.9,312.65,547.8,162.65,23396,7314659.15,-
2006-05-02,EQ,316.75,320.0,309.0,310.9,312.0,312.15,312.8,547.8,162.65,105752,33079324.1,-
2006-05-03,EQ,316.0,318.0,314.0,312.15,316.0,315.85,315.24,547.8,162.65,109420,34493439.2,-
2006-05-04,EQ,318.6,379.05,318.0,315.85,379.05,369.4,352.22,547.8,162.65,513685,180932119.0,-
2006-05-05,EQ,390.0,399.95,371.0,369.4,372.15,374.4,385.7,547.8,162.65,735279,283596994.1,-
2006-05-08,EQ,377.7,390.15,371.45,374.4,376.55,376.8,379.65,547.8,162.65,235585,89439118.5,-
2006-05-09,EQ,378.0,383.85,370.1,376.8,381.0,378.5,374.91,547.8,162.65,94559,35450992.1,-
2006-05-10,EQ,381.0,385.0,370.1,378.5,373.6,373.3,379.69,547.8,162.65,127479,48402187.4,-
2006-05-11,EQ,376.95,378.0,366.0,373.3,371.5,369.35,371.43,547.8,162.65,53126,19732485.9,-
2006-05-12,EQ,370.0,370.0,343.15,369.35,364.0,362.6,363.53,547.8,162.65,60112,21852642.95,-
2006-05-15,EQ,364.0,384.0,335.0,362.6,365.9,363.35,366.97,547.8,162.65,156188,57316090.9,-
2006-05-16,EQ,369.75,384.0,355.0,363.35,357.0,359.35,362.26,547.8,162.65,569571,206332803.05,-
2006-05-17,EQ,379.15,379.15,356.25,359.35,361.0,358.75,363.59,547.8,162.65,92794,33738746.0,-
2006-05-18,EQ,352.0,355.0,330.0,358.75,335.0,331.6,337.93,547.8,162.65,183826,62119760.45,-
2006-05-19,EQ,345.0,349.5,314.0,331.6,315.0,325.45,329.33,547.8,162.65,503612,165855337.3,-
2006-05-22,EQ,302.0,324.0,260.4,325.45,301.0,296.85,285.69,547.8,162.65,310333,88659823.3,-
2006-05-23,EQ,301.2,311.6,280.0,296.85,303.1,304.45,298.71,547.8,162.65,108806,32501826.4,-
2006-05-24,EQ,303.0,305.0,288.0,304.45,291.0,292.2,296.05,547.8,162.65,230935,68367829.4,-
2006-05-25,EQ,292.0,292.0,275.0,292.2,276.25,276.25,278.77,547.8,162.65,108703,30303110.3,-
2006-05-26,EQ,285.0,293.0,276.0,276.25,287.1,286.95,286.83,547.8,162.65,77515,22233774.8,-
2006-05-29,EQ,289.0,339.75,268.1,286.95,313.0,311.9,317.76,547.8,162.65,383168,121754280.65,-
2006-05-30,EQ,316.85,321.3,303.15,311.9,306.7,305.65,313.05,547.8,162.65,151602,47458629.5,-
2006-05-31,EQ,300.0,300.0,285.0,305.65,295.0,294.4,290.96,547.8,162.65,151448,44064684.1,-
2006-06-01,EQ,300.0,311.0,271.1,294.4,278.0,277.2,293.61,547.8,162.65,171798,50441167.2,-
2006-06-02,EQ,289.5,289.95,266.0,277.2,284.95,284.65,283.2,547.8,162.65,209850,59429901.95,-
2006-06-05,EQ,285.05,287.95,276.6,284.65,281.0,284.35,280.49,547.8,162.65,402331,112851747.3,-
2006-06-06,EQ,275.0,283.95,268.0,284.35,279.3,280.35,279.27,547.8,162.65,69413,19384795.15,-
2006-06-07,EQ,277.0,280.0,260.05,280.35,271.0,266.15,266.95,547.8,162.65,205961,54980392.85,-
2006-06-08,EQ,260.0,260.0,212.95,266.15,214.4,215.6,237.1,547.8,162.65,1428033,338583802.7,-
2006-06-09,EQ,215.0,258.75,210.0,215.6,258.75,258.35,243.46,547.8,162.65,191514,46626354.6,-
2006-06-12,EQ,261.35,282.0,240.0,258.35,257.15,250.1,251.37,547.8,162.65,391278,98353955.6,-
2006-06-13,EQ,249.0,249.0,225.0,250.1,240.0,238.75,238.73,547.8,162.65,253719,60569606.8,-
2006-06-14,EQ,245.8,258.0,222.05,238.75,230.0,228.0,237.91,547.8,162.65,265007,63047375.05,-
2006-06-15,EQ,245.0,248.0,233.0,228.0,245.05,245.3,240.51,547.8,162.65,213841,51431775.85,-
2006-06-16,EQ,258.0,273.0,237.1,245.3,243.4,244.15,251.58,547.8,162.65,343918,86524176.0,-
2006-06-19,EQ,247.95,248.0,237.8,244.15,240.1,239.75,240.39,547.8,162.65,362041,87030425.2,-
2006-06-20,EQ,231.25,247.0,231.25,239.75,241.0,239.5,239.21,547.8,162.65,1913916,457834325.8,-
2006-06-21,EQ,240.0,248.0,236.05,239.5,242.75,240.35,240.85,547.8,162.65,362222,87241104.75,-
2006-06-22,EQ,241.0,250.0,241.0,240.35,245.0,244.8,245.01,547.8,162.65,262298,64266095.5,-
2006-06-23,EQ,245.0,245.0,237.0,244.8,241.0,241.3,243.17,547.8,162.65,1171669,284912362.25,-
2006-06-25,EQ,244.9,248.7,244.0,241.3,244.5,244.85,245.19,547.8,162.65,14061,3447670.85,-
2006-06-26,EQ,246.5,246.55,235.5,244.85,240.1,239.6,239.23,547.8,162.65,306831,73403168.3,-
2006-06-27,EQ,240.0,240.5,226.1,239.6,232.0,230.7,232.48,547.8,162.65,807642,187764511.85,-
2006-06-28,EQ,230.0,230.0,220.0,230.7,223.5,221.9,224.58,547.8,162.65,191287,42959381.6,-
2006-06-29,EQ,228.0,235.0,226.0,221.9,232.75,232.6,232.49,547.8,162.65,112121,26067109.2,-
2006-06-30,EQ,240.0,246.45,236.5,232.6,243.55,244.0,241.75,547.8,162.65,211916,51231702.95,-
2006-07-03,EQ,244.0,244.95,240.2,244.0,244.0,243.9,241.71,547.8,162.65,124695,30140581.75,-
2006-07-04,EQ,244.0,245.85,242.55,243.9,244.0,244.95,244.83,547.8,162.65,227104,55602526.75,-
2006-07-05,EQ,243.0,255.0,241.6,244.95,249.55,248.9,250.59,547.8,162.65,430399,107853032.65,-
2006-07-06,EQ,245.05,255.0,241.0,248.9,252.05,250.55,249.56,547.8,162.65,139536,34822724.5,-
2006-07-07,EQ,251.9,254.8,240.0,250.55,242.2,241.5,248.62,547.8,162.65,56816,14125614.5,-
2006-07-10,EQ,254.0,254.0,236.5,241.5,237.95,239.1,239.4,547.8,162.65,48175,11533322.0,-
2006-07-11,EQ,240.0,241.0,235.2,239.1,238.0,238.1,239.03,547.8,162.65,35756,8546584.45,-
2006-07-12,EQ,229.0,241.0,229.0,238.1,240.0,240.0,236.64,547.8,162.65,42641,10090656.4,-
2006-07-13,EQ,237.6,242.0,235.2,240.0,235.7,236.25,238.93,547.8,162.65,35015,8366265.1,-
2006-07-14,EQ,241.0,246.9,233.0,236.25,245.0,245.1,239.66,547.8,162.65,769310,184372156.5,-
2006-07-17,EQ,246.0,250.5,241.55,245.1,245.0,243.65,247.59,547.8,162.65,160382,39709540.45,-
2006-07-18,EQ,243.05,247.9,231.5,243.65,245.0,241.15,239.13,547.8,162.65,464944,111180160.45,-
2006-07-19,EQ,248.0,248.0,234.15,241.15,245.55,244.8,244.64,547.8,162.65,2934663,717936664.25,-
2006-07-20,EQ,250.0,271.5,249.1,244.8,251.45,253.5,261.27,547.8,162.65,1322858,345618622.35,-
2006-07-21,EQ,244.0,265.0,238.65,253.5,264.85,262.2,251.52,547.8,162.65,483439,121594903.1,-
2006-07-24,EQ,255.0,271.9,253.5,262.2,261.5,263.05,265.86,547.8,162.65,364820,96991964.85,-
2006-07-25,EQ,268.0,273.0,261.3,263.05,270.6,269.35,267.87,547.8,162.65,277417,74311277.1,-
2006-07-26,EQ,271.85,279.0,265.0,269.35,278.5,276.1,275.2,547.8,162.65,221012,60822519.9,-
