Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2006-01-02,EQ,893.0,902.0,890.15,889.3,899.45,897.85,896.56,902.0,490.0,3661821,3283044998.6,-
2006-01-03,EQ,899.5,923.9,896.0,897.85,919.0,920.0,909.48,923.9,490.0,4904724,4460748068.95,-
2006-01-04,EQ,921.0,936.0,920.0,920.0,929.55,929.85,929.47,936.0,490.0,4320968,4016217314.45,-
2006-01-05,EQ,933.0,936.0,920.0,929.85,920.9,921.7,925.73,936.0,490.0,5308620,4914332738.25,-
2006-01-06,EQ,921.7,931.45,913.1,921.7,919.35,920.7,922.62,936.0,490.0,6359000,5866909704.9,-
2006-01-09,EQ,923.0,925.5,906.2,920.7,908.9,910.15,916.05,936.0,490.0,6239710,5715857297.3,-
2006-01-10,EQ,909.0,910.0,888.25,910.15,892.6,894.1,897.4,936.0,490.0,9600147,8615144130.3,-
2006-01-12,EQ,863.1,897.0,863.1,894.1,887.25,886.85,883.99,936.0,490.0,19677679,17394948347.0,-
2006-01-13,EQ,889.95,897.0,883.05,886.85,883.55,885.15,889.09,936.0,490.0,10131698,9007968732.45,-
2006-01-16,EQ,888.0,888.0,864.2,885.15,875.0,872.95,870.88,936.0,490.0,15377084,13391579931.2,-
2006-01-17,EQ,875.25,937.0,872.05,872.95,926.9,928.5,913.9,937.0,490.0,45149329,41262045741.45,-
2006-01-18,EQ,580.1,727.4,580.1,928.5,693.55,693.7,709.07,937.0,490.0,61000245,43253436014.25,-
2006-01-19,EQ,700.0,729.65,691.4,693.7,705.5,704.5,699.65,937.0,490.0,10171960,7116807681.2,-
2006-01-20,EQ,707.0,709.4,702.0,704.5,703.5,704.2,705.41,937.0,490.0,3859831,2722769022.65,-
2006-01-23,EQ,702.0,706.0,694.0,704.2,705.6,702.35,700.17,937.0,490.0,4174933,2923152877.65,-
2006-01-24,EQ,710.0,714.0,688.95,702.35,695.6,693.45,699.77,937.0,490.0,11312904,7916434557.7,-
2006-01-25,EQ,696.0,699.8,685.0,693.45,690.5,688.4,691.46,937.0,490.0,13377596,9250059263.85,-
2006-01-27,EQ,694.9,703.2,694.8,688.4,698.95,698.65,698.68,937.0,490.0,6279370,4387265217.35,-
2006-01-30,EQ,700.0,718.2,700.0,698.65,710.6,711.05,712.46,937.0,512.0,7256981,5170277963.4,-
2006-01-31,EQ,708.4,719.8,708.4,711.05,713.1,713.9,714.52,937.0,512.0,6209049,4436499143.9,-
2006-02-01,EQ,714.6,718.8,701.0,713.9,706.95,704.8,711.77,937.0,512.0,4938137,3514840257.3,-
2006-02-02,EQ,709.9,715.9,701.0,704.8,710.05,708.65,707.23,937.0,512.0,5022425,3552015441.45,-
2006-02-03,EQ,707.0,707.0,695.0,708.65,696.95,696.6,701.0,937.0,512.0,3429300,2403955302.3,-
2006-02-06,EQ,695.0,722.75,683.5,696.6,720.95,720.35,711.72,937.0,512.0,9525852,6779785535.9,-
2006-02-07,EQ,720.55,723.5,706.5,720.35,721.0,720.55,717.01,937.0,512.0,6801747,4876916007.05,-
2006-02-08,EQ,719.95,722.0,714.0,720.55,715.05,716.5,717.38,937.0,512.0,6750630,4842775482.0,-
2006-02-10,EQ,715.0,723.55,715.0,716.5,720.0,719.6,716.78,937.0,512.0,5166270,3703092082.95,-
2006-02-13,EQ,715.0,721.0,715.0,719.6,715.7,716.8,717.2,937.0,512.0,3170840,2274119053.15,-
2006-02-14,EQ,715.0,724.35,712.1,716.8,714.25,714.2,716.51,937.0,512.0,6607308,4734217910.35,-
2006-02-15,EQ,712.1,718.9,696.5,714.2,698.0,701.8,704.0,937.0,512.0,7659167,5392071278.45,-
2006-02-16,EQ,701.8,709.4,694.05,701.8,697.5,697.05,701.14,937.0,512.0,4058936,2845868849.45,-
2006-02-17,EQ,703.0,707.5,690.0,697.05,693.0,693.15,695.86,937.0,512.0,4632076,3223266663.4,-
2006-02-20,EQ,694.0,703.45,689.0,693.15,701.9,702.05,696.62,937.0,512.0,3226110,2247363758.35,-
2006-02-21,EQ,702.05,706.0,694.3,702.05,698.25,697.75,702.1,937.0,512.0,3360389,2359316888.55,-
2006-02-22,EQ,699.25,705.5,698.0,697.75,702.0,703.95,702.9,937.0,512.0,2935983,2063701323.4,-
2006-02-23,EQ,705.0,706.85,695.05,703.95,700.5,700.35,699.75,937.0,512.0,6211541,4346528780.45,-
2006-02-24,EQ,702.0,707.4,699.0,700.35,702.0,702.85,702.76,937.0,512.0,2401313,1687552269.15,-
2006-02-27,EQ,703.0,705.85,697.0,702.85,700.05,700.1,700.13,937.0,512.0,5398936,3779982421.5,-
2006-02-28,EQ,703.75,714.9,695.3,700.1,708.0,708.85,705.98,937.0,512.0,7720791,5450739928.45,-
2006-03-01,EQ,708.0,713.9,702.1,708.85,707.1,708.25,707.84,937.0,512.0,4523549,3201963784.6,-
2006-03-02,EQ,710.0,719.0,707.0,708.25,710.25,713.15,713.67,937.0,512.0,3821962,2727629518.9,-
2006-03-03,EQ,715.0,718.0,708.25,713.15,717.0,715.75,713.56,937.0,512.0,4185425,2986560154.4,-
2006-03-06,EQ,717.0,733.9,717.0,715.75,731.2,732.2,726.13,937.0,512.0,6130529,4451562853.35,-
2006-03-07,EQ,733.3,740.0,729.0,732.2,730.5,732.5,735.02,937.0,512.0,5395169,3965548301.35,-
2006-03-08,EQ,733.0,733.0,711.65,732.5,720.55,719.9,722.28,937.0,512.0,7028288,5076370848.05,-
2006-03-09,EQ,724.0,728.7,711.5,719.9,725.0,726.75,722.61,937.0,512.0,4618646,3337459403.0,-
2006-03-10,EQ,731.0,737.9,727.15,726.75,730.0,731.45,732.61,937.0,512.0,3455455,2531501549.8,-
2006-03-13,EQ,731.5,741.25,731.0,731.45,733.45,735.35,736.52,937.0,512.0,3966001,2921056056.9,-
