Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2006-01-02,EQ,912.5,917.75,902.15,908.15,903.5,904.9,910.01,960.0,559.7,2004095,1823745172.3,-
2006-01-03,EQ,908.1,915.0,906.0,904.9,913.0,912.05,911.45,960.0,559.7,1647614,1501710952.7,-
2006-01-04,EQ,915.7,923.0,915.7,912.05,917.1,917.9,919.27,960.0,559.7,1832406,1684482663.85,-
2006-01-05,EQ,921.6,945.45,919.2,917.9,940.6,941.3,934.81,960.0,559.7,4017009,3755143843.95,-
2006-01-06,EQ,941.0,950.0,931.15,941.3,940.0,940.15,941.26,960.0,559.7,2249976,2117817496.35,-
2006-01-09,EQ,947.7,947.7,922.0,940.15,924.0,926.95,931.67,960.0,559.7,2167347,2019246543.95,-
2006-01-10,EQ,924.0,933.8,908.15,926.95,912.5,911.1,921.93,960.0,559.7,2623900,2419050820.8,-
2006-01-12,EQ,911.0,935.9,904.0,911.1,933.0,932.95,924.09,960.0,559.7,3164552,2924326167.15,-
2006-01-13,EQ,935.0,937.9,921.05,932.95,923.35,923.8,928.88,960.0,559.7,1994441,1852597242.25,-
2006-01-16,EQ,926.0,929.4,904.0,923.8,915.7,917.4,922.04,960.0,559.7,2280802,2102990710.3,-
2006-01-17,EQ,916.0,927.0,905.5,917.4,912.0,907.85,916.33,960.0,559.7,1636963,1499996985.2,-
2006-01-18,EQ,906.0,906.0,882.6,907.85,894.95,893.0,892.5,960.0,559.7,2510899,2240987407.55,-
2006-01-19,EQ,900.0,915.0,900.0,893.0,914.1,907.8,905.89,960.0,559.7,1918418,1737884752.15,-
2006-01-20,EQ,912.5,916.7,902.55,907.8,905.1,906.85,910.34,960.0,559.7,1871767,1703940746.85,-
2006-01-23,EQ,906.65,914.6,897.15,906.85,900.05,902.55,906.21,960.0,559.7,1340541,1214817044.45,-
2006-01-24,EQ,905.0,916.5,900.1,902.55,900.15,901.95,907.58,960.0,559.7,2286477,2075163046.2,-
