Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2006-01-02,EQ,1708.0,1710.9,1681.35,1702.85,1685.35,1687.6,1694.55,1753.0,1093.3,206688,350243166.75,-
2006-01-03,EQ,1685.25,1739.95,1682.0,1687.6,1726.0,1733.2,1716.21,1753.0,1093.3,424617,728731404.1,-
2006-01-04,EQ,1740.0,1749.9,1722.2,1733.2,1742.5,1743.1,1736.73,1753.0,1093.3,443202,769722916.85,-
2006-01-05,EQ,1745.0,1746.0,1721.9,1743.1,1735.5,1732.35,1730.51,1753.0,1093.3,178978,309723956.85,-
2006-01-06,EQ,1735.0,1739.9,1692.0,1732.35,1704.0,1705.6,1710.21,1753.0,1093.3,370718,634004119.5,-
2006-01-09,EQ,1710.15,1730.0,1681.0,1705.6,1681.0,1688.95,1698.39,1753.0,1093.3,485409,824414287.2,-
2006-01-10,EQ,1690.0,1699.8,1661.0,1688.95,1665.0,1672.5,1677.28,1753.0,1093.3,496581,832907273.9,-
2006-01-12,EQ,1653.0,1689.0,1615.0,1672.5,1670.0,1673.7,1652.3,1753.0,1093.3,1739962,2874937263.35,-
2006-01-13,EQ,1680.0,1690.0,1644.0,1673.7,1648.0,1651.75,1666.76,1753.0,1093.3,451071,751827743.65,-
2006-01-16,EQ,1651.0,1651.0,1602.55,1651.75,1605.0,1608.75,1629.42,1753.0,1093.3,600614,978654455.1,-
2006-01-17,EQ,1611.0,1640.0,1610.0,1608.75,1627.0,1623.4,1624.92,1753.0,1093.3,469132,762300309.7,-
2006-01-18,EQ,1618.2,1623.8,1602.1,1623.4,1616.0,1619.55,1614.66,1753.0,1093.3,395640,638825993.6,-
2006-01-19,EQ,1623.8,1654.7,1623.8,1619.55,1647.55,1650.35,1644.62,1753.0,1093.3,446841,734883557.55,-
2006-01-20,EQ,1655.0,1669.85,1635.0,1650.35,1635.0,1644.0,1651.88,1753.0,1093.3,411780,680212054.05,-
2006-01-23,EQ,1635.0,1635.0,1611.3,1644.0,1625.0,1622.15,1622.5,1753.0,1093.3,285034,462468717.05,-
2006-01-24,EQ,1635.0,1649.0,1630.4,1622.15,1640.0,1642.6,1639.2,1753.0,1093.3,236258,387275080.0,-
2006-01-25,EQ,1649.0,1659.95,1643.5,1642.6,1650.05,1651.2,1651.84,1753.0,1093.3,795717,1314393661.35,-
2006-01-27,EQ,1680.0,1680.0,1650.6,1651.2,1656.55,1659.15,1659.03,1753.0,1093.3,375477,622927244.35,-
2006-01-30,EQ,1665.4,1679.6,1652.1,1659.15,1662.0,1658.9,1662.16,1753.0,1093.3,172893,287375787.5,-
2006-01-31,EQ,1679.6,1679.6,1652.35,1658.9,1670.0,1670.4,1669.46,1753.0,1093.3,187895,313683732.1,-
